"q15","q16","y3","y10","q14","Class"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Somewhat worsened","Stayed about the same","same.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Significantly improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly disagree","Strongly disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat worsened","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat agree","Neither agree nor disagree","Somewhat improved","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Not a barrier for me","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat disagree","Somewhat agree","Somewhat worsened","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat agree","Somewhat agree","Significantly improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Somewhat worsened","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat improved","more.productivity"
"Neither agree nor disagree","Strongly disagree","Somewhat worsened","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat disagree","Somewhat disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","less.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat worsened","Stayed about the same","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat worsened","more.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat worsened","more.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Not a barrier for me","Stayed about the same","more.productivity"
"Somewhat disagree","Somewhat disagree","Not a barrier for me","Somewhat worsened","Somewhat worsened","less.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat improved","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Somewhat worsened","same.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Strongly disagree","Strongly disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat improved","Not a barrier for me","Stayed about the same","same.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Somewhat improved","Not a barrier for me","same.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Somewhat improved","same.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Neither agree nor disagree","Stayed about the same","Not a barrier for me","Stayed about the same","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","same.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat worsened","more.productivity"
"Strongly agree","Somewhat disagree","Not a barrier for me","Somewhat improved","Not a barrier for me","same.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Somewhat agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Somewhat improved","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat worsened","Somewhat worsened","less.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Significantly improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Significantly worsened","Significantly worsened","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Stayed about the same","Somewhat improved","more.productivity"
"Somewhat disagree","Strongly agree","Somewhat improved","Somewhat improved","Somewhat worsened","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Stayed about the same","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Stayed about the same","Stayed about the same","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Somewhat improved","Significantly improved","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Significantly improved","Stayed about the same","more.productivity"
"Strongly agree","Somewhat disagree","Not a barrier for me","Somewhat improved","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Not a barrier for me","Stayed about the same","same.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Significantly improved","Significantly improved","more.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Somewhat worsened","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Not a barrier for me","same.productivity"
"Strongly disagree","Strongly disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","less.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly improved","Stayed about the same","Somewhat improved","same.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Significantly improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Somewhat improved","less.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat worsened","more.productivity"
"Neither agree nor disagree","Strongly agree","Not a barrier for me","Not a barrier for me","Significantly improved","same.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","same.productivity"
"Somewhat agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Not a barrier for me","Significantly improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Somewhat worsened","less.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Significantly improved","more.productivity"
"Strongly agree","Neither agree nor disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat improved","Stayed about the same","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Strongly disagree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","same.productivity"
